#t loss_rate recv_agent cum_loss agent_state comp_cost
1 0.05 0.95 0.05 NORMAL 1.0
2 0.05 0.95 0.1 NORMAL 1.0
3 0.05 0.95 0.15 NORMAL 1.0
4 0.05 0.95 0.2 NORMAL 1.0
5 0.05 0.95 0.25 NORMAL 1.0
6 0.05 0.95 0.3 NORMAL 1.0
7 0.05 0.95 0.35 NORMAL 1.0
8 0.05 0.95 0.4 NORMAL 1.0
9 0.05 0.95 0.45 NORMAL 1.0
10 0.05 0.95 0.5 NORMAL 1.0
11 0.05 0.95 0.55 NORMAL 1.0
12 0.05 0.95 0.6 NORMAL 1.0
13 0.05 0.95 0.65 NORMAL 1.0
14 0.05 0.95 0.7 NORMAL 1.0
15 0.05 0.95 0.75 NORMAL 1.0
16 0.05 0.95 0.8 NORMAL 1.0
17 0.05 0.95 0.85 NORMAL 1.0
18 0.05 0.95 0.9 NORMAL 1.0
19 0.05 0.95 0.95 NORMAL 1.0
20 0.05 0.95 1 NORMAL 1.0
21 0.05 0.95 1.05 NORMAL 1.0
22 0.05 0.95 1.1 NORMAL 1.0
23 0.05 0.95 1.15 NORMAL 1.0
24 0.05 0.95 1.2 NORMAL 1.0
25 0.05 0.95 1.25 NORMAL 1.0
26 0.05 0.95 1.3 NORMAL 1.0
27 0.05 0.95 1.35 NORMAL 1.0
28 0.05 0.95 1.4 NORMAL 1.0
29 0.05 0.95 1.45 NORMAL 1.0
30 0.05 0.95 1.5 NORMAL 1.0
31 0.05 0.95 1.55 NORMAL 1.0
32 0.05 0.95 1.6 NORMAL 1.0
33 0.05 0.95 1.65 NORMAL 1.0
34 0.05 0.95 1.7 NORMAL 1.0
35 0.05 0.95 1.75 NORMAL 1.0
36 0.05 0.95 1.8 NORMAL 1.0
37 0.05 0.95 1.85 NORMAL 1.0
38 0.05 0.95 1.9 NORMAL 1.0
39 0.05 0.95 1.95 NORMAL 1.0
40 0.05 0.95 2 NORMAL 1.0
41 0.0683333 0.931667 2.06833 NORMAL 1.0
42 0.0866667 0.913333 2.155 NORMAL 1.0
43 0.105 0.895 2.26 NORMAL 1.0
44 0.123333 0.876667 2.38333 NORMAL 1.0
45 0.222351 0.777649 2.60568 NORMAL 1.0
46 0.164074 0.835926 2.76975 NORMAL 1.0
47 0.266292 0.733708 3.03604 NORMAL 1.0
48 0.216212 0.783788 3.25225 NORMAL 1.0
49 0.251602 0.748398 3.50385 NORMAL 1.0
50 0.233333 0.8 3.70385 MITIGATING 2.5
51 0.251667 0.8 3.90385 MITIGATING 2.5
52 0.27 0.8 4.10385 MITIGATING 2.5
53 0.288333 0.8 4.30385 MITIGATING 2.5
54 0.306667 0.8 4.50385 MITIGATING 2.5
55 0.325 0.8 4.70385 MITIGATING 2.5
56 0.343333 0.8 4.90385 MITIGATING 2.5
57 0.361667 0.8 5.10385 MITIGATING 2.5
58 0.38 0.8 5.30385 MITIGATING 2.5
59 0.398333 0.8 5.50385 MITIGATING 2.5
60 0.416667 0.8 5.70385 MITIGATING 2.5
61 0.435 0.8 5.90385 MITIGATING 2.5
62 0.453333 0.8 6.10385 MITIGATING 2.5
63 0.471667 0.8 6.30385 MITIGATING 2.5
64 0.49 0.8 6.50385 MITIGATING 2.5
65 0.508333 0.8 6.70385 MITIGATING 2.5
66 0.526667 0.8 6.90385 MITIGATING 2.5
67 0.545 0.8 7.10385 MITIGATING 2.5
68 0.563333 0.8 7.30385 MITIGATING 2.5
69 0.581667 0.8 7.50385 MITIGATING 2.5
70 0.6 0.8 7.70385 MITIGATING 2.5
71 0.05 0.8 7.90385 MITIGATING 2.5
72 0.05 0.8 8.10385 MITIGATING 2.5
73 0.05 0.8 8.30385 MITIGATING 2.5
74 0.05 0.8 8.50385 MITIGATING 2.5
75 0.05 0.8 8.70385 MITIGATING 2.5
76 0.05 0.8 8.90385 MITIGATING 2.5
77 0.05 0.8 9.10385 MITIGATING 2.5
78 0.05 0.8 9.30385 MITIGATING 2.5
79 0.05 0.8 9.50385 MITIGATING 2.5
80 0.05 0.8 9.70385 MITIGATING 2.5
81 0.05 0.8 9.90385 MITIGATING 2.5
82 0.05 0.8 10.1038 MITIGATING 2.5
83 0.05 0.8 10.3038 MITIGATING 2.5
84 0.05 0.8 10.5038 MITIGATING 2.5
85 0.05 0.8 10.7038 MITIGATING 2.5
86 0.05 0.8 10.9038 MITIGATING 2.5
87 0.05 0.8 11.1038 MITIGATING 2.5
88 0.05 0.8 11.3038 MITIGATING 2.5
89 0.05 0.8 11.5038 MITIGATING 2.5
90 0.05 0.8 11.7038 MITIGATING 2.5
91 0.05 0.8 11.9038 MITIGATING 2.5
92 0.05 0.8 12.1038 MITIGATING 2.5
93 0.05 0.8 12.3038 MITIGATING 2.5
94 0.05 0.8 12.5038 MITIGATING 2.5
95 0.05 0.8 12.7038 MITIGATING 2.5
96 0.05 0.8 12.9038 MITIGATING 2.5
97 0.05 0.8 13.1038 MITIGATING 2.5
98 0.05 0.8 13.3038 MITIGATING 2.5
99 0.05 0.8 13.5038 MITIGATING 2.5
100 0.05 0.8 13.7038 MITIGATING 2.5
