# t entropy loss cum_loss agent_state cost spoof
1 0.192405 0.05 0.05 BASELINE 1.0 0
2 0.192405 0.05 0.1 BASELINE 1.0 0
3 0.192405 0.05 0.15 BASELINE 1.0 0
4 0.192405 0.05 0.2 BASELINE 1.0 0
5 0.192405 0.05 0.25 BASELINE 1.0 0
6 0.192405 0.05 0.3 BASELINE 1.0 0
7 0.192405 0.05 0.35 BASELINE 1.0 0
8 0.192405 0.05 0.4 BASELINE 1.0 0
9 0.192405 0.05 0.45 BASELINE 1.0 0
10 0.884809 0.05 0.5 BASELINE 1.0 1
11 0.884809 0.05 0.55 BASELINE 1.0 1
12 0.884809 0.05 0.6 BASELINE 1.0 1
13 0.884809 0.05 0.65 BASELINE 1.0 1
14 0.884809 0.05 0.7 BASELINE 1.0 1
15 0.884809 0.05 0.75 BASELINE 1.0 1
16 0.884809 0.05 0.8 BASELINE 1.0 1
17 0.884809 0.05 0.85 BASELINE 1.0 1
18 0.884809 0.05 0.9 BASELINE 1.0 1
19 0.884809 0.05 0.95 BASELINE 1.0 1
20 0.884809 0.05 1 BASELINE 1.0 1
21 0.884809 0.05 1.05 BASELINE 1.0 1
22 0.884809 0.05 1.1 BASELINE 1.0 1
23 0.884809 0.05 1.15 BASELINE 1.0 1
24 0.884809 0.05 1.2 BASELINE 1.0 1
25 0.884809 0.05 1.25 BASELINE 1.0 1
26 0.884809 0.05 1.3 BASELINE 1.0 1
27 0.884809 0.05 1.35 BASELINE 1.0 1
28 0.884809 0.05 1.4 BASELINE 1.0 1
29 0.884809 0.05 1.45 BASELINE 1.0 1
30 0.884809 0.05 1.5 BASELINE 1.0 1
31 0.192405 0.05 1.55 BASELINE 1.0 0
32 0.192405 0.05 1.6 BASELINE 1.0 0
33 0.192405 0.05 1.65 BASELINE 1.0 0
34 0.192405 0.05 1.7 BASELINE 1.0 0
35 0.192405 0.05 1.75 BASELINE 1.0 0
36 0.192405 0.05 1.8 BASELINE 1.0 0
37 0.192405 0.05 1.85 BASELINE 1.0 0
38 0.192405 0.05 1.9 BASELINE 1.0 0
39 0.192405 0.05 1.95 BASELINE 1.0 0
40 0.984809 0.05 2 BASELINE 1.0 0
41 0.984809 0.08 2.08 BASELINE 1.0 0
42 0.984809 0.11 2.19 MITIGATING 2.5 0
43 0.984809 0.14 2.33 MITIGATING 2.5 0
44 0.984809 0.17 2.5 MITIGATING 2.5 0
45 0.984809 0.2 2.7 MITIGATING 2.5 0
46 0.984809 0.23 2.93 MITIGATING 2.5 0
47 0.984809 0.26 3.19 MITIGATING 2.5 0
48 0.984809 0.29 3.48 MITIGATING 2.5 0
49 0.984809 0.32 3.8 MITIGATING 2.5 0
50 0.984809 0.35 4.15 MITIGATING 2.5 0
51 0.984809 0.38 4.53 MITIGATING 2.5 0
52 0.984809 0.41 4.94 MITIGATING 2.5 0
53 0.984809 0.44 5.38 MITIGATING 2.5 0
54 0.984809 0.47 5.85 MITIGATING 2.5 0
55 0.984809 0.5 6.35 MITIGATING 2.5 0
56 0.984809 0.53 6.88 MITIGATING 2.5 0
57 0.984809 0.56 7.44 MITIGATING 2.5 0
58 0.984809 0.59 8.03 MITIGATING 2.5 0
59 0.984809 0.62 8.65 MITIGATING 2.5 0
60 0.984809 0.65 9.3 MITIGATING 2.5 0
61 0.984809 0.68 9.98 MITIGATING 2.5 0
62 0.984809 0.71 10.69 MITIGATING 2.5 0
63 0.984809 0.74 11.43 MITIGATING 2.5 0
64 0.984809 0.77 12.2 MITIGATING 2.5 0
65 0.984809 0.8 13 MITIGATING 2.5 0
66 0.984809 0.83 13.83 MITIGATING 2.5 0
67 0.984809 0.86 14.69 MITIGATING 2.5 0
68 0.984809 0.89 15.58 MITIGATING 2.5 0
69 0.984809 0.92 16.5 MITIGATING 2.5 0
70 0.984809 0.95 17.45 MITIGATING 2.5 0
71 0.192405 0.05 17.5 BASELINE 1.0 0
72 0.192405 0.05 17.55 BASELINE 1.0 0
73 0.192405 0.05 17.6 BASELINE 1.0 0
74 0.192405 0.05 17.65 BASELINE 1.0 0
75 0.192405 0.05 17.7 BASELINE 1.0 0
76 0.192405 0.05 17.75 BASELINE 1.0 0
77 0.192405 0.05 17.8 BASELINE 1.0 0
78 0.192405 0.05 17.85 BASELINE 1.0 0
79 0.192405 0.05 17.9 BASELINE 1.0 0
80 0.192405 0.05 17.95 BASELINE 1.0 0
81 0.192405 0.05 18 BASELINE 1.0 0
82 0.192405 0.05 18.05 FAIL_SECURE 1.0 0
83 0.192405 0.05 18.1 FAIL_SECURE 1.0 0
84 0.192405 0.05 18.15 FAIL_SECURE 1.0 0
85 0.192405 0.05 18.2 FAIL_SECURE 1.0 0
86 0.192405 0.05 18.25 FAIL_SECURE 1.0 0
87 0.192405 0.05 18.3 FAIL_SECURE 1.0 0
88 0.192405 0.05 18.35 FAIL_SECURE 1.0 0
89 0.192405 0.05 18.4 FAIL_SECURE 1.0 0
90 0.192405 0.05 18.45 FAIL_SECURE 1.0 0
91 0.192405 0.05 18.5 FAIL_SECURE 1.0 0
92 0.192405 0.05 18.55 FAIL_SECURE 1.0 0
93 0.192405 0.05 18.6 FAIL_SECURE 1.0 0
94 0.192405 0.05 18.65 FAIL_SECURE 1.0 0
95 0.192405 0.05 18.7 FAIL_SECURE 1.0 0
96 0.192405 0.05 18.75 FAIL_SECURE 1.0 0
97 0.192405 0.05 18.8 FAIL_SECURE 1.0 0
98 0.192405 0.05 18.85 FAIL_SECURE 1.0 0
99 0.192405 0.05 18.9 FAIL_SECURE 1.0 0
100 0.192405 0.05 18.95 FAIL_SECURE 1.0 0
